channel,n_classes,accuracy,auc
gender | original bios,2,0.9975,0.9999810718901767
gender | blind bios,2,0.6452083333333334,0.709147365059508
gender | names (control),2,0.9164583333333334,0.9710794978876057
ethnicity | original bios,3,0.3229166666666667,0.49445801286870683
ethnicity | blind bios,3,0.32458333333333333,0.4968761689172625
ethnicity | names (control),3,0.32354166666666667,0.4953675645539899
